                  numPartitions       found_pair_nums       precision       recall       time(s)
textFile               2                   636               1.00           0.99           20
textFile               3                   626               1.00           0.97           12
textFile               4                   637               1.00           0.99            8
textFile               5                   639               1.00           0.99            8
textFile               6                   634               1.00           0.98            6
textFile               7                   634               1.00           0.98            6
textFile               8                   632               1.00           0.98            6
textFile               9                   637               1.00           0.99            6
textFile              10                   629               1.00           0.98            8
textFile              11                   633               1.00           0.98            6
textFile              12                   637               1.00           0.99            6
textFile              13                   635               1.00           0.99            8
textFile              14                   634               1.00           0.98            7
textFile              15                   637               1.00           0.99            7
parallelize            2                   636               1.00           0.99           19
parallelize            3                   626               1.00           0.97           12
parallelize            4                   637               1.00           0.99            9
parallelize            5                   639               1.00           0.99            8
parallelize            6                   634               1.00           0.98            7
parallelize            7                   634               1.00           0.98            7
parallelize            8                   632               1.00           0.98            7
parallelize            9                   637               1.00           0.99            7
parallelize           10                   629               1.00           0.98            8
parallelize           11                   633               1.00           0.98            7
parallelize           12                   637               1.00           0.99            7
parallelize           13                   635               1.00           0.99            8
parallelize           14                   634               1.00           0.98            7
parallelize           15                   637               1.00           0.99            7
