rank         lambda         numIter         numPartitions         train_RMSE         val_RMSE         duration
 2           0.010            10                 2                 0.93630           1.41061            18
 2           0.010            10                 3                 0.93152           1.36126            12
 2           0.010            10                 4                 0.87454           1.22091            10
 2           0.010            10                 5                 0.97464           1.41765             9
 2           0.010            10                 7                 0.96950           1.37776             9
 2           0.010            10                 9                 0.91882           1.34070             9
 2           0.010            15                 2                 0.95808           1.42453            13
 2           0.010            15                 3                 0.97597           1.70069            11
 2           0.010            15                 4                 0.92936           1.41971            10
 2           0.010            15                 5                 0.86790           1.23489            10
 2           0.010            15                 7                 0.85995           1.21930            10
 2           0.010            15                 9                 0.94547           1.47664            10
 2           0.010            20                 2                 0.89310           1.35600            13
 2           0.010            20                 3                 0.87587           1.26598            11
 2           0.010            20                 4                 0.86779           1.33409            11
 2           0.010            20                 5                 0.94254           1.50766            10
 2           0.010            20                 7                 0.93543           1.43748            11
 2           0.010            20                 9                 0.98691           1.67769            11
 2           0.020            10                 2                 0.87227           1.16844            14
 2           0.020            10                 3                 0.88455           1.18285            11
 2           0.020            10                 4                 0.91673           1.24118            10
 2           0.020            10                 5                 0.86285           1.15483            10
 2           0.020            10                 7                 0.99728           1.42391            10
 2           0.020            10                 9                 0.94849           1.33151            10
 2           0.020            15                 2                 0.94508           1.37812            15
 2           0.020            15                 3                 0.86419           1.18232            12
 2           0.020            15                 4                 0.91456           1.32178            10
 2           0.020            15                 5                 0.91669           1.29874            10
 2           0.020            15                 7                 0.86249           1.15394            10
 2           0.020            15                 9                 0.87285           1.19917            10
 2           0.020            20                 2                 0.86216           1.17388            13
 2           0.020            20                 3                 0.99199           1.48059            11
 2           0.020            20                 4                 0.92806           1.32457            11
 2           0.020            20                 5                 0.87538           1.21645            10
 2           0.020            20                 7                 0.95094           1.35964            10
 2           0.020            20                 9                 0.86035           1.17890            10
 2           0.040            10                 2                 0.94413           1.26366            12
 2           0.040            10                 3                 0.93396           1.24357            10
 2           0.040            10                 4                 0.88882           1.16577             9
 2           0.040            10                 5                 0.93587           1.24703             9
 2           0.040            10                 7                 0.92744           1.22365             9
 2           0.040            10                 9                 0.86511           1.11645             9
 2           0.040            15                 2                 0.88705           1.16389            13
 2           0.040            15                 3                 0.89840           1.19511            11
 2           0.040            15                 4                 0.87627           1.14613            10
 2           0.040            15                 5                 0.87871           1.16881            10
 2           0.040            15                 7                 0.87069           1.13478            10
 2           0.040            15                 9                 0.93105           1.24513             9
 2           0.040            20                 2                 0.90096           1.20981            13
 2           0.040            20                 3                 0.86744           1.13189            11
 2           0.040            20                 4                 0.87656           1.15906            11
 2           0.040            20                 5                 0.87967           1.16445            10
 2           0.040            20                 7                 0.86189           1.12415            10
 2           0.040            20                 9                 0.87284           1.16738            10
 2           0.080            10                 2                 0.99094           1.27856            12
 2           0.080            10                 3                 0.88610           1.11309            10
 2           0.080            10                 4                 0.99293           1.28642            10
 2           0.080            10                 5                 0.87084           1.08377             9
 2           0.080            10                 7                 1.01304           1.30125             9
 2           0.080            10                 9                 0.87156           1.08184             9
 2           0.080            15                 2                 0.87169           1.08585            13
 2           0.080            15                 3                 0.87801           1.10971            11
 2           0.080            15                 4                 0.89294           1.12396            10
 2           0.080            15                 5                 0.90764           1.15144            10
 2           0.080            15                 7                 0.88593           1.11153            10
 2           0.080            15                 9                 0.86774           1.08710            10
 2           0.080            20                 2                 0.89345           1.12760            13
 2           0.080            20                 3                 0.99175           1.28447            11
 2           0.080            20                 4                 0.86981           1.08443            11
 2           0.080            20                 5                 0.90465           1.15431            10
 2           0.080            20                 7                 0.97439           1.26077            10
 2           0.080            20                 9                 0.89299           1.13007            10
 2           0.100            10                 2                 0.89251           1.09917            12
 2           0.100            10                 3                 0.91935           1.14761            10
 2           0.100            10                 4                 0.92547           1.15837             9
 2           0.100            10                 5                 0.91724           1.13930             9
 2           0.100            10                 7                 0.93308           1.16059             9
 2           0.100            10                 9                 0.90483           1.11971             9
 2           0.100            15                 2                 0.92759           1.16092            13
 2           0.100            15                 3                 0.94082           1.19286            11
 2           0.100            15                 4                 0.98562           1.24990            10
 2           0.100            15                 5                 0.86892           1.06715             9
 2           0.100            15                 7                 0.89106           1.09710            10
 2           0.100            15                 9                 0.91150           1.13779            10
 2           0.100            20                 2                 0.88671           1.09730            13
 2           0.100            20                 3                 0.94599           1.20166            11
 2           0.100            20                 4                 0.87468           1.07469            11
 2           0.100            20                 5                 0.87699           1.09364            10
 2           0.100            20                 7                 0.87979           1.09877            10
 2           0.100            20                 9                 0.89582           1.11545            10
 2           0.200            10                 2                 0.93732           1.09875            12
 2           0.200            10                 3                 1.07014           1.29235            10
 2           0.200            10                 4                 0.91362           1.06313             9
 2           0.200            10                 5                 0.92186           1.07618             9
 2           0.200            10                 7                 0.90596           1.04920             9
 2           0.200            10                 9                 1.00176           1.20640             9
 2           0.200            15                 2                 0.90454           1.05038            12
 2           0.200            15                 3                 0.90737           1.05701            11
 2           0.200            15                 4                 0.99410           1.19119            10
 2           0.200            15                 5                 0.91455           1.07047            10
 2           0.200            15                 7                 0.90679           1.05554            10
 2           0.200            15                 9                 0.95988           1.13647             9
 2           0.200            20                 2                 0.90599           1.05568            13
 2           0.200            20                 3                 0.90296           1.05134            11
 2           0.200            20                 4                 0.91017           1.06834            11
 2           0.200            20                 5                 0.90642           1.05580            10
 2           0.200            20                 7                 0.91087           1.06804            10
 2           0.200            20                 9                 0.90478           1.05650            10
 2           0.400            10                 2                 1.09291           1.22908            12
 2           0.400            10                 3                 1.07882           1.20351            10
 2           0.400            10                 4                 1.11092           1.25536             9
 2           0.400            10                 5                 1.05493           1.16252             9
 2           0.400            10                 7                 1.00720           1.09416             9
 2           0.400            10                 9                 1.01350           1.10816             9
 2           0.400            15                 2                 1.00599           1.09494            13
 2           0.400            15                 3                 1.11728           1.25640            11
 2           0.400            15                 4                 1.00433           1.09168            10
 2           0.400            15                 5                 1.00403           1.09027            10
 2           0.400            15                 7                 1.00334           1.08440            10
 2           0.400            15                 9                 1.00781           1.09905             9
 2           0.400            20                 2                 1.00274           1.08399            13
 2           0.400            20                 3                 1.00368           1.08750            12
 2           0.400            20                 4                 1.00464           1.09250            11
 2           0.400            20                 5                 1.00346           1.08434            10
 2           0.400            20                 7                 1.00342           1.08521            10
 2           0.400            20                 9                 1.00335           1.08383            10
 2           0.800            10                 2                 1.26426           1.33004            12
 2           0.800            10                 3                 1.23508           1.28921            10
 2           0.800            10                 4                 1.23917           1.29828             9
 2           0.800            10                 5                 1.25953           1.32589             9
 2           0.800            10                 7                 1.22958           1.27953             9
 2           0.800            10                 9                 1.24258           1.30044             9
 2           0.800            15                 2                 1.23253           1.28554            13
 2           0.800            15                 3                 1.23375           1.28621            11
 2           0.800            15                 4                 1.23397           1.28651            10
 2           0.800            15                 5                 1.23386           1.28687             9
 2           0.800            15                 7                 1.23340           1.28628            10
 2           0.800            15                 9                 1.23132           1.28285             9
 2           0.800            20                 2                 1.22941           1.27881            13
 2           0.800            20                 3                 1.30476           1.38281            11
 2           0.800            20                 4                 1.22922           1.27820            11
 2           0.800            20                 5                 1.22933           1.27856            10
 2           0.800            20                 7                 1.23131           1.28228            10
 2           0.800            20                 9                 1.25193           1.31421            10
 3           0.010            10                 2                 0.80662           1.32080            12
 3           0.010            10                 3                 0.80141           1.28765            10
 3           0.010            10                 4                 0.83774           1.40122             9
 3           0.010            10                 5                 0.81368           1.33274             9
 3           0.010            10                 7                 0.80178           1.29388             9
 3           0.010            10                 9                 0.83927           1.42922             9
 3           0.010            15                 2                 0.81157           1.39701            13
 3           0.010            15                 3                 0.78716           1.30945            11
 3           0.010            15                 4                 0.80275           1.36794            10
 3           0.010            15                 5                 0.79962           1.34992            10
 3           0.010            15                 7                 0.80882           1.40338             9
 3           0.010            15                 9                 0.80034           1.35109             9
 3           0.010            20                 2                 0.81159           1.45508            13
 3           0.010            20                 3                 0.78505           1.33101            11
 3           0.010            20                 4                 0.78501           1.35026            11
 3           0.010            20                 5                 0.78673           1.33251            10
 3           0.010            20                 7                 0.80226           1.38496            10
 3           0.010            20                 9                 0.79035           1.36627            10
 3           0.020            10                 2                 0.85279           1.38219            12
 3           0.020            10                 3                 0.81861           1.29034            10
 3           0.020            10                 4                 0.81839           1.27608            10
 3           0.020            10                 5                 0.80739           1.24817             9
 3           0.020            10                 7                 0.79714           1.21895             9
 3           0.020            10                 9                 0.81144           1.26172             9
 3           0.020            15                 2                 0.78929           1.23783            13
 3           0.020            15                 3                 0.79455           1.25112            11
 3           0.020            15                 4                 0.79064           1.24915            10
 3           0.020            15                 5                 0.80157           1.30500             9
 3           0.020            15                 7                 0.80101           1.27548            10
 3           0.020            15                 9                 0.79737           1.26750             9
 3           0.020            20                 2                 0.79155           1.26031            13
 3           0.020            20                 3                 0.83180           1.40451            11
 3           0.020            20                 4                 0.79984           1.30971            11
 3           0.020            20                 5                 0.79354           1.26864            10
 3           0.020            20                 7                 0.79205           1.25917            10
 3           0.020            20                 9                 0.78431           1.23628            10
 3           0.040            10                 2                 0.80462           1.18633            12
 3           0.040            10                 3                 0.80587           1.17922            10
 3           0.040            10                 4                 0.80737           1.17698            10
 3           0.040            10                 5                 0.80563           1.17817             9
 3           0.040            10                 7                 0.80181           1.16758             9
 3           0.040            10                 9                 0.81669           1.21998             9
 3           0.040            15                 2                 0.79943           1.18685            13
 3           0.040            15                 3                 0.79390           1.18671            11
 3           0.040            15                 4                 0.80396           1.19684            10
 3           0.040            15                 5                 0.79917           1.18921            10
 3           0.040            15                 7                 0.80088           1.19292            10
 3           0.040            15                 9                 0.79221           1.16982            10
 3           0.040            20                 2                 0.79136           1.18201            13
 3           0.040            20                 3                 0.79654           1.18895            11
 3           0.040            20                 4                 0.79193           1.17930            11
 3           0.040            20                 5                 0.79429           1.18514            10
 3           0.040            20                 7                 0.80767           1.21808            10
 3           0.040            20                 9                 0.79308           1.19083            10
 3           0.080            10                 2                 0.81835           1.13276            12
 3           0.080            10                 3                 0.85304           1.20378            10
 3           0.080            10                 4                 0.82488           1.14622             9
 3           0.080            10                 5                 0.81157           1.11431             9
 3           0.080            10                 7                 0.82586           1.15070             9
 3           0.080            10                 9                 0.83130           1.16213             9
 3           0.080            15                 2                 0.80582           1.12004            13
 3           0.080            15                 3                 0.81183           1.13156            11
 3           0.080            15                 4                 0.81127           1.12381            10
 3           0.080            15                 5                 0.80578           1.12073            10
 3           0.080            15                 7                 0.80875           1.12384             9
 3           0.080            15                 9                 0.82075           1.15166             9
 3           0.080            20                 2                 0.80609           1.12345            13
 3           0.080            20                 3                 0.84795           1.21566            12
 3           0.080            20                 4                 0.80152           1.11713            10
 3           0.080            20                 5                 0.79855           1.11194            10
 3           0.080            20                 7                 0.81037           1.13238            10
 3           0.080            20                 9                 0.80494           1.12860            10
 3           0.100            10                 2                 0.82855           1.12010            12
 3           0.100            10                 3                 0.82452           1.11271            10
 3           0.100            10                 4                 0.82596           1.11395             9
 3           0.100            10                 5                 0.87497           1.21219             9
 3           0.100            10                 7                 0.82221           1.10653             9
 3           0.100            10                 9                 0.85690           1.18563             9
 3           0.100            15                 2                 0.81707           1.10805            13
 3           0.100            15                 3                 0.81672           1.10451            11
 3           0.100            15                 4                 0.81488           1.10431            10
