Time,Ground Truth,Estimation
2019-11-29 16:10:40,30,34
2019-11-29 16:10:50,51,47
2019-11-29 16:11:00,66,65
2019-11-29 16:11:10,72,58
2019-11-29 16:11:20,76,90
2019-11-29 16:11:30,84,108
2019-11-29 16:11:40,77,92
2019-11-29 16:11:50,74,64
2019-11-29 16:12:00,72,124
2019-11-29 16:12:10,74,34
2019-11-29 16:12:20,74,92
2019-11-29 16:12:30,74,36
2019-11-29 16:12:40,73,116
2019-11-29 16:12:50,67,39
2019-11-29 16:13:00,68,50
2019-11-29 16:13:10,62,37
2019-11-29 16:13:20,62,28
2019-11-29 16:13:30,69,80
2019-11-29 16:13:40,73,74
2019-11-29 16:13:50,78,87
2019-11-29 16:14:00,70,52
2019-11-29 16:14:10,68,56
2019-11-29 16:14:20,77,52
2019-11-29 16:14:30,80,80
2019-11-29 16:14:40,77,84
2019-11-29 16:14:50,72,70
2019-11-29 16:15:00,72,38
2019-11-29 16:15:10,72,72
2019-11-29 16:15:20,62,50
2019-11-29 16:15:30,60,70
2019-11-29 16:15:40,66,54
2019-11-29 16:15:50,74,34
2019-11-29 16:16:00,71,92
2019-11-29 16:16:10,69,112
2019-11-29 16:16:20,63,55
2019-11-29 16:16:30,68,74
2019-11-29 16:16:40,69,69
2019-11-29 16:16:50,68,44
2019-11-29 16:17:00,64,42
2019-11-29 16:17:10,75,64
2019-11-29 16:17:20,69,54
2019-11-29 16:17:30,65,76
2019-11-29 16:17:40,64,30
2019-11-29 16:17:50,71,84
2019-11-29 16:18:00,72,25
2019-11-29 16:18:10,77,77
2019-11-29 16:18:20,72,68
2019-11-29 16:18:30,77,92
2019-11-29 16:18:40,70,81
2019-11-29 16:18:50,68,68
2019-11-29 16:19:00,69,39
2019-11-29 16:19:10,67,108
2019-11-29 16:19:20,66,64
2019-11-29 16:19:30,74,72
2019-11-29 16:19:40,71,64
2019-11-29 16:19:50,67,72
2019-11-29 16:20:00,57,126
2019-11-29 16:20:10,56,68
2019-11-29 16:20:20,62,68
2019-11-29 16:20:30,60,40
