Time,Ground Truth,Estimation
2019-11-29 16:35:55,29,40
2019-11-29 16:36:05,48,32
2019-11-29 16:36:15,65,59
2019-11-29 16:36:25,71,78
2019-11-29 16:36:35,76,94
2019-11-29 16:36:45,82,88
2019-11-29 16:36:55,77,70
2019-11-29 16:37:05,76,69
2019-11-29 16:37:15,74,56
2019-11-29 16:37:25,74,104
2019-11-29 16:37:35,75,55
2019-11-29 16:37:45,75,59
2019-11-29 16:37:55,74,47
2019-11-29 16:38:05,67,56
2019-11-29 16:38:15,67,57
2019-11-29 16:38:25,63,53
2019-11-29 16:38:35,64,65
2019-11-29 16:38:45,71,60
2019-11-29 16:38:55,70,64
2019-11-29 16:39:05,76,99
2019-11-29 16:39:15,69,52
2019-11-29 16:39:25,67,48
2019-11-29 16:39:35,76,56
2019-11-29 16:39:45,80,70
2019-11-29 16:39:55,78,62
2019-11-29 16:40:05,70,78
2019-11-29 16:40:15,72,60
2019-11-29 16:40:25,73,72
2019-11-29 16:40:35,66,94
2019-11-29 16:40:45,60,28
2019-11-29 16:40:55,65,57
2019-11-29 16:41:05,71,52
2019-11-29 16:41:15,72,40
2019-11-29 16:41:25,70,46
2019-11-29 16:41:35,67,78
2019-11-29 16:41:45,69,36
2019-11-29 16:41:55,67,35
2019-11-29 16:42:05,67,76
2019-11-29 16:42:15,67,73
2019-11-29 16:42:25,73,52
2019-11-29 16:42:35,72,59
2019-11-29 16:42:45,64,66
2019-11-29 16:42:55,61,64
2019-11-29 16:43:05,70,80
2019-11-29 16:43:15,75,96
2019-11-29 16:43:25,79,70
2019-11-29 16:43:35,75,80
2019-11-29 16:43:45,71,64
2019-11-29 16:43:55,75,124
2019-11-29 16:44:05,68,40
2019-11-29 16:44:15,68,60
2019-11-29 16:44:25,66,78
2019-11-29 16:44:35,64,56
2019-11-29 16:44:45,77,52
2019-11-29 16:44:55,73,44
2019-11-29 16:45:05,70,81
2019-11-29 16:45:15,58,66
2019-11-29 16:45:25,58,63
2019-11-29 16:45:35,61,43
2019-11-29 16:45:45,59,27
