Time,Ground Truth,Estimation
2019-11-29 18:22:20,30,45
2019-11-29 18:22:30,52,28
2019-11-29 18:22:40,66,74
2019-11-29 18:22:50,72,80
2019-11-29 18:23:00,75,53
2019-11-29 18:23:10,85,69
2019-11-29 18:23:20,77,69
2019-11-29 18:23:30,74,96
2019-11-29 18:23:40,72,40
2019-11-29 18:23:50,74,42
2019-11-29 18:24:00,76,42
2019-11-29 18:24:10,73,56
2019-11-29 18:24:20,73,61
2019-11-29 18:24:30,66,80
2019-11-29 18:24:40,68,72
2019-11-29 18:24:50,62,53
2019-11-29 18:25:00,63,61
2019-11-29 18:25:10,69,28
2019-11-29 18:25:20,74,56
2019-11-29 18:25:30,77,53
2019-11-29 18:25:40,70,101
2019-11-29 18:25:50,65,45
2019-11-29 18:26:00,77,68
2019-11-29 18:26:10,80,64
2019-11-29 18:26:20,79,85
2019-11-29 18:26:30,72,32
2019-11-29 18:26:40,72,58
2019-11-29 18:26:50,70,82
2019-11-29 18:27:00,62,37
2019-11-29 18:27:10,62,62
2019-11-29 18:27:20,67,53
2019-11-29 18:27:30,74,42
2019-11-29 18:27:40,71,82
2019-11-29 18:27:50,70,49
2019-11-29 18:28:00,63,66
2019-11-29 18:28:10,67,53
2019-11-29 18:28:20,67,65
2019-11-29 18:28:30,69,72
2019-11-29 18:28:40,67,49
2019-11-29 18:28:50,77,82
2019-11-29 18:29:00,67,82
2019-11-29 18:29:10,63,29
2019-11-29 18:29:20,62,45
2019-11-29 18:29:30,73,48
2019-11-29 18:29:40,70,58
2019-11-29 18:29:50,76,58
2019-11-29 18:30:00,70,49
2019-11-29 18:30:10,78,77
2019-11-29 18:30:20,71,41
2019-11-29 18:30:30,67,49
2019-11-29 18:30:40,68,60
2019-11-29 18:30:50,67,90
2019-11-29 18:31:00,65,64
2019-11-29 18:31:10,74,53
2019-11-29 18:31:20,70,81
2019-11-29 18:31:30,67,33
2019-11-29 18:31:40,57,42
2019-11-29 18:31:50,56,50
2019-11-29 18:32:00,62,66
2019-11-29 18:32:10,60,85
