Time,Ground Truth,Estimation
2019-11-30 13:26:40,31,31
2019-11-30 13:26:50,52,55
2019-11-30 13:27:00,66,77
2019-11-30 13:27:10,71,69
2019-11-30 13:27:20,75,89
2019-11-30 13:27:30,85,88
2019-11-30 13:27:40,77,67
2019-11-30 13:27:50,74,89
2019-11-30 13:28:00,72,74
2019-11-30 13:28:10,74,61
2019-11-30 13:28:20,76,67
2019-11-30 13:28:30,74,79
2019-11-30 13:28:40,74,74
2019-11-30 13:28:50,66,71
2019-11-30 13:29:00,68,69
2019-11-30 13:29:10,60,65
2019-11-30 13:29:20,62,78
2019-11-30 13:29:30,69,70
2019-11-30 13:29:40,75,78
2019-11-30 13:29:50,78,81
2019-11-30 13:30:00,70,77
2019-11-30 13:30:10,66,74
2019-11-30 13:30:20,77,94
2019-11-30 13:30:30,80,98
2019-11-30 13:30:40,77,90
2019-11-30 13:30:50,72,73
2019-11-30 13:31:00,72,76
2019-11-30 13:31:10,72,85
2019-11-30 13:31:20,62,62
2019-11-30 13:31:30,62,64
2019-11-30 13:31:40,67,64
2019-11-30 13:31:50,74,106
2019-11-30 13:32:00,69,73
2019-11-30 13:32:10,69,78
2019-11-30 13:32:20,63,80
2019-11-30 13:32:30,68,92
2019-11-30 13:32:40,68,81
2019-11-30 13:32:50,69,67
2019-11-30 13:33:00,68,74
2019-11-30 13:33:10,77,72
2019-11-30 13:33:20,67,83
2019-11-30 13:33:30,63,71
2019-11-30 13:33:40,62,84
2019-11-30 13:33:50,73,74
2019-11-30 13:34:00,70,71
2019-11-30 13:34:10,76,73
2019-11-30 13:34:20,70,67
2019-11-30 13:34:30,78,84
2019-11-30 13:34:40,71,74
2019-11-30 13:34:50,67,64
2019-11-30 13:35:00,68,66
2019-11-30 13:35:10,66,74
2019-11-30 13:35:20,66,73
2019-11-30 13:35:30,76,96
2019-11-30 13:35:40,71,92
2019-11-30 13:35:50,67,72
2019-11-30 13:36:00,55,66
2019-11-30 13:36:10,56,68
2019-11-30 13:36:20,61,66
2019-11-30 13:36:30,60,72
